Empid,Name,Designation,Salary,Experience,Vaccinated
1,John Doe,Manager,25000,10,Yes
2,Jane Smith,Supervisor,18000,5,No
3,Alice Brown,Clerk,12000,2,Yes
4,Bob Johnson,Labour,8000,1,No
5,Emily Davis,Manager,29000,12,Yes
6,Frank Wilson,Supervisor,20000,7,Yes
7,Grace Lee,Clerk,15000,4,No
8,Henry Miller,Labour,7000,2,Yes
9,Irene White,Manager,27000,11,Yes
10,Jack Black,Supervisor,19000,6,No
11,Kelly Green,Manager,30000,125,Yes
12,Leo Scott,Supervisor,25000,5,No
13,Maya Blue,Clerk,10000,2,Yes
14,Nina Grey,Labour,9000,2,No
15,Owen White,Manager,27000,11,Yes
16,Paul Black,Supervisor,25000,7,Yes
17,Quinn Red,Clerk,11000,3,Yes
18,Rose Brown,Labour,8500,1,No
19,Sam Yellow,Manager,22000,12,Yes
20,Tina Violet,Supervisor,22000,8,No
21,Uma Blue,Clerk,14000,3,Yes
22,Vic Orange,Labour,7500,2,No
23,Will Green,Manager,25000,10,Yes
24,Xavier Pink,Supervisor,18000,5,No
25,Yara Purple,Clerk,13000,4,Yes
26,Zack Blue,Labour,7000,1,Yes
27,Alan Red,Manager,29000,12,Yes
28,Ben Green,Supervisor,20000,3,No
29,Cara White,Clerk,12000,2,Yes
30,Dean Grey,Labour,18000,5,No
